LON,LAT,Full_Address,Place,Road,Neighbourhood,Suburb,City
-73.67253072242468,45.511742000002315,"Cégep de Saint-Laurent, 625, Avenue Sainte-Croix, Vieux Saint-Laurent, Saint-Laurent, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H4L 3X7, Canada",Cégep de Saint-Laurent,Avenue Sainte-Croix,Vieux Saint-Laurent,Saint-Laurent,Montréal
-73.5554965248399,45.521333410101654,"1460, Boulevard De Maisonneuve Est, TOD quartier Berri UQAM, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2L 2A2, Canada",Boulevard De Maisonneuve Est,Boulevard De Maisonneuve Est,TOD quartier Berri UQAM,Ville-Marie,Montréal
-73.59793400000535,45.50160300000423,"Cavalerie SPVM, 1515, Chemin Remembrance, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H3Y 1H3, Canada",Cavalerie SPVM,Chemin Remembrance,,Ville-Marie,Montréal
-73.6732211350723,45.55759241008793,"Rue Basile-Routhier, Ahuntsic, Ahuntsic-Cartierville, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2C 0A8, Canada",Rue Basile-Routhier,Rue Basile-Routhier,Ahuntsic,Ahuntsic-Cartierville,Montréal
-73.58150999999043,45.513849999990306,"Avenue du Parc, Le Plateau-Mont-Royal, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2W 1T7, Canada",Avenue du Parc,Avenue du Parc,,Le Plateau-Mont-Royal,Montréal
-73.5444243498804,45.53021600001728,"Rue Notre-Dame Est, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2K 2J5, Canada",Rue Notre-Dame Est,Rue Notre-Dame Est,,Ville-Marie,Montréal
-73.52043362493158,45.59553741007792,"Avenue Souligny, Mercier-Est, Mercier, Mercier–Hochelaga-Maisonneuve, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H1L 5R1, Canada",Avenue Souligny,Avenue Souligny,Mercier-Est,Mercier–Hochelaga-Maisonneuve,Montréal
-73.59063434996683,45.560713000011546,"6885, 16e Avenue, Rosemont, Rosemont–La Petite-Patrie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H1X 2T5, Canada",16e Avenue,16e Avenue,Rosemont,Rosemont–La Petite-Patrie,Montréal
-73.6294258009158,45.53016399999652,"7716, Avenue Querbes, Parc-Extension, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H3N 2B7, Canada",Avenue Querbes,Avenue Querbes,Parc-Extension,Villeray–Saint-Michel–Parc-Extension,Montréal
-73.59880000002121,45.53599999998778,"1111, Rue de Bellechasse, La Petite-Patrie, Rosemont–La Petite-Patrie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2S 1Y8, Canada",Rue de Bellechasse,Rue de Bellechasse,La Petite-Patrie,Rosemont–La Petite-Patrie,Montréal
-73.55960186007067,45.50600841008722,"Place d’Armes, Autoroute Ville-Marie, Quartier international, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2Z 0A1, Canada",Autoroute Ville-Marie,Autoroute Ville-Marie,,Ville-Marie,Montréal
-73.57587000000034,45.50613400001726,"University Hall Residence, 3473, Rue University, Quartier des Spectacles, Le Plateau-Mont-Royal, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H3A 2A8, Canada",Rue University,Rue University,Quartier des Spectacles,Le Plateau-Mont-Royal,Montréal
-73.58025000003758,45.5196200000114,"159, Rue Rachel Est, Le Plateau-Mont-Royal, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2W 1C8, Canada",Rue Rachel Est,Rue Rachel Est,,Le Plateau-Mont-Royal,Montréal
-73.54248186656984,45.65913000000324,"Boulevard Maurice-Duplessis, Rivière-des-Prairies–Pointe-aux-Trembles, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H1C 1S7, Canada",Boulevard Maurice-Duplessis,Boulevard Maurice-Duplessis,,Rivière-des-Prairies–Pointe-aux-Trembles,Montréal
-73.54441000001643,45.50127000000645,"Habitat '67, 2600, Avenue Pierre-Dupuy, Cité du Havre, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H3C 6N3, Canada",Avenue Pierre-Dupuy,Avenue Pierre-Dupuy,Cité du Havre,Ville-Marie,Montréal
-73.6095643499056,45.4704930000007,"Boulevard De Maisonneuve Ouest, Côte-des-Neiges–Notre-Dame-de-Grâce, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H4A 1Z8, Canada",Boulevard De Maisonneuve Ouest,Boulevard De Maisonneuve Ouest,,Côte-des-Neiges–Notre-Dame-de-Grâce,Montréal
-73.61336999998205,45.63159000000413,"Pont A25, Rivière-des-Prairies–Pointe-aux-Trembles, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H1G 6L7, Canada",Pont A25,Pont A25,,Rivière-des-Prairies–Pointe-aux-Trembles,Montréal
