Date,Date and Time,Count,Day of Week,Time
10/31/2008,10/31/2008 18:00,0,Friday,6:00pm
10/31/2008,10/31/2008 18:30,75,Friday,6:30pm
10/31/2008,10/31/2008 19:00,117,Friday,7:00pm
10/31/2008,10/31/2008 19:30,147,Friday,7:30pm
10/31/2008,10/31/2008 20:00,144,Friday,8:00pm
10/31/2008,10/31/2008 20:15,9,Friday,8:15pm
10/31/2009,10/31/2009 18:00,0,Saturday,6:00pm
10/31/2009,10/31/2009 18:30,52,Saturday,6:30pm
10/31/2009,10/31/2009 19:00,177,Saturday,7:00pm
10/31/2009,10/31/2009 19:30,150,Saturday,7:30pm
10/31/2009,10/31/2009 20:00,143,Saturday,8:00pm
10/31/2009,10/31/2009 20:15,20,Saturday,8:15pm
10/31/2010,10/31/2010 18:00,0,Sunday,6:00pm
10/31/2010,10/31/2010 18:30,172,Sunday,6:30pm
10/31/2010,10/31/2010 19:00,179,Sunday,7:00pm
10/31/2010,10/31/2010 19:30,187,Sunday,7:30pm
10/31/2010,10/31/2010 20:00,185,Sunday,8:00pm
10/31/2010,10/31/2010 20:15,3,Sunday,8:15pm
10/31/2011,10/31/2011 18:00,0,Monday,6:00pm
10/31/2011,10/31/2011 18:30,172,Monday,6:30pm
10/31/2011,10/31/2011 19:00,195,Monday,7:00pm
10/31/2011,10/31/2011 19:30,252,Monday,7:30pm
10/31/2011,10/31/2011 20:00,197,Monday,8:00pm
10/31/2011,10/31/2011 20:15,53,Monday,8:15pm
10/31/2012,10/31/2012 18:00,0,Wednesday,6:00pm
10/31/2012,10/31/2012 18:30,147,Wednesday,6:30pm
10/31/2012,10/31/2012 19:00,163,Wednesday,7:00pm
10/31/2012,10/31/2012 19:30,232,Wednesday,7:30pm
10/31/2012,10/31/2012 20:00,111,Wednesday,8:00pm
10/31/2012,10/31/2012 20:15,20,Wednesday,8:15pm
10/31/2013,10/31/2013 18:00,33,Thursday,6:00pm
10/31/2013,10/31/2013 18:30,119,Thursday,6:30pm
10/31/2013,10/31/2013 19:00,81,Thursday,7:00pm
10/31/2013,10/31/2013 19:30,70,Thursday,7:30pm
10/31/2013,10/31/2013 20:00,68,Thursday,8:00pm
10/31/2013,10/31/2013 20:15,20,Thursday,8:15pm
