COUNTRY_CODE,MEAN,GAIN,PCT_GAIN,COUNTRY_NAME
ABW,71.57625,12.303993,19.210281,Aruba
AFE,52.64486,20.976498,47.490738,Africa Eastern and Southern
AFG,48.08886,33.236004,101.33237,Afghanistan
AFW,48.61281,21.076084,55.78689,Africa Western and Central
AGO,47.30483,26.683998,70.34508,Angola
ALB,71.809616,23.189,41.105774,Albania
AND,79.33417,11.946999,16.571419,Andorra
ARB,61.370247,27.650623,61.728333,Arab World
ARE,71.23998,32.257996,63.686787,United Arab Emirates
ARG,71.192986,13.153,20.474144,Argentina
ARM,68.07825,18.402851,31.158003,Armenia
ASM,70.09036,7.798996,11.98868,American Samoa
ATG,73.09511,14.963001,23.889202,Antigua and Barbuda
AUS,77.02054,12.234146,17.275702,Australia
AUT,75.68361,12.955856,18.89005,Austria
AZE,63.373955,23.567001,46.335186,Azerbaijan
BDI,48.89447,20.389,47.12912,Burundi
BEL,75.99391,12.69561,18.21414,Belgium
BEN,51.783077,21.998997,56.734997,Benin
BFA,48.991405,25.017998,69.35188,Burkina Faso
BGD,57.877014,30.691998,69.78626,Bangladesh
BGR,71.98651,6.459755,9.328495,Bulgaria
BHR,71.60189,30.649998,60.532444,Bahrain
BHS,70.22626,12.098003,19.371063,"Bahamas, The"
BIH,70.53219,19.32,33.008713,Bosnia and Herzegovina
BLR,70.59375,4.9291687,7.1174593,Belarus
BLZ,67.59891,16.177002,28.188334,Belize
BMU,74.871216,15.826996,23.806437,Bermuda
BOL,56.909546,25.243,58.246803,Bolivia
BRA,65.91794,22.686,42.67334,Brazil
BRB,72.66964,12.028999,18.751654,Barbados
BRN,70.354034,16.606003,28.279495,Brunei Darussalam
BTN,55.947906,36.607998,100.66268,Bhutan
BWA,58.739532,17.943,35.03124,Botswana
CAF,46.308426,17.836002,45.07228,Central African Republic
CAN,77.20424,10.513412,14.7799015,Canada
CEB,72.09031,9.953148,14.64916,Central Europe and the Baltics
CHE,77.95148,12.742683,17.868563,Switzerland
CHI,76.64531,8.599998,11.862067,Channel Islands
CHL,72.110535,23.951,41.86067,Chile
CHN,66.99078,44.534004,133.25954,China
CIV,51.125484,24.7,66.31941,Cote d'Ivoire
CMR,52.804123,29.033,83.74824,Cameroon
COD,49.753765,21.143002,51.882126,"Congo, Dem. Rep."
COG,57.08737,18.177002,38.19099,"Congo, Rep."
COL,68.60787,21.115997,37.301483,Colombia
COM,54.999046,26.0,63.761433,Comoros
CPV,64.51033,27.345997,56.13696,Cabo Verde
CRI,74.35958,17.336002,27.316708,Costa Rica
CSS,67.23799,12.875572,21.353916,Caribbean small states
CUB,73.26517,14.768997,23.325853,Cuba
CUW,72.07605,11.394005,17.420427,Curacao
CYM,71.51138,21.576,36.705112,Cayman Islands
CYP,74.58389,18.328003,28.945047,Cyprus
CZE,73.497475,9.529274,13.545756,Czechia
DEU,75.61142,11.477394,16.618473,Germany
DJI,54.918125,22.565998,51.970238,Djibouti
DMA,69.57861,11.056004,18.403362,Dominica
DNK,76.12402,9.677078,13.407505,Denmark
DOM,66.105865,22.015,42.578083,Dominican Republic
DZA,62.099327,35.422,86.73572,Algeria
EAP,65.85399,38.034004,100.49496,East Asia & Pacific (excluding high income)
